Stock Code,Name of Listed Securities,Board Lot,Admitted to Central Clearing and Settlement System,Designated Securities eligible for shortselling,Admitted to Stock Options?,Admitted to Stock Futures
00001,CHEUNG KONG,1,000,#,H,O,F
00002,CLP HOLDINGS,500,#,H,O,F
00003,HK & CHINA GAS,1,000,#,H,O,F
00004,WHARF HOLDINGS,1,000,#,H,O,F
00005,HSBC HOLDINGS,400,#,H,O,F
00006,HK ELECTRIC,500,#,H,O,F
00007,KARL THOMSON,2,000,#, , , 
00008,PCCW,1,000,#,H, , 
00009,CHINA MANDARIN,60,000,#, , , 
00010,HANG LUNG GROUP,1,000,#,H, , 
00011,HANG SENG BANK,100,#,H,O,F
00012,HENDERSON LAND,1,000,#,H,O,F
00013,HUTCHISON,1,000,#,H,O,F
00014,HYSAN DEV,1,000,#,H, , 
00015,VANTAGE INT'L,6,000,#, , , 
00016,SHK PPT,1,000,#,H,O,F
00017,NEW WORLD DEV,1,000,#,H,O,F
00018,ORIENTAL PRESS,2,000,#, , , 
00019,SWIRE PACIFIC A,500,#,H,O,F
00020,WHEELOCK,1,000,#,H, , 
00021,WAYTUNG GLOBAL,5,000,#, , , 
00022,MEXAN,40,000,#, , , 
00023,BANK OF E ASIA,200,#,H,O,F
00024,BURWILL,2,000,#,H, , 
00025,CHEVALIER INT'L,2,000,#, , , 
00026,CHINA MOTOR BUS,200,#,H, , 
00027,GALAXY ENT,1,000,#,H, , 
00028,TIAN AN,1,000,#,H, , 
00029,DYNAMIC HOLD,2,000,#, , , 
00030,ABC COM (HOLD),2,000,#, , , 
00031,CHINA AEROSPACE,2,000,#,H, , 
00032,CROSS-HAR(HOLD),1,000,#,H, , 
00033,RAINBOWBROTHERS,2,000,#, , , 
00034,KOWLOON DEV,1,000,#,H, , 
00035,FE CONSORT INTL,1,000,#,H, , 
00036,FE HLDGS INTL,3,000,#, , , 
00037,FE HOTELS,2,000,#, , , 
00038,FIRST TRACTOR,2,000,#,H, , 
00039,BIO-DYNAMIC,2,000,#,H, , 
00040,GOLD PEAK,1,000,#, , , 
00041,GREAT EAGLE H,1,000,#,H, , 
00042,NE ELECTRIC,2,000,#, , , 
00043,C.P. POKPHAND,2,000,#,H, , 
00044,HAECO,400,#,H, , 
00045,HK&S HOTELS,500,#,H, , 
00046,COMPUTER & TECH,2,000,#, , , 
00047,HOP HING GROUP,4,000,#, , , 
00048,EGANAGOLDPFEIL,2,000,#, , , 
00050,HK FERRY (HOLD),1,000,#,H, , 
00051,HARBOUR CENTRE,1,000,#,H, , 
00052,FAIRWOOD HOLD,500,#, , , 
