Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,7.65,7.76,7.63,7.68,3914400,7.68
2010-12-21,7.58,7.73,7.58,7.65,1578100,7.65
2010-12-20,7.65,7.66,7.56,7.63,1762200,7.63
2010-12-17,7.55,7.59,7.53,7.58,2118500,7.58
2010-12-16,7.55,7.59,7.47,7.48,1828000,7.48
2010-12-15,7.66,7.68,7.55,7.56,875000,7.56
2010-12-14,7.65,7.71,7.65,7.71,1297100,7.71
2010-12-13,7.68,7.75,7.68,7.69,889000,7.69
2010-12-10,7.53,7.62,7.49,7.60,485400,7.60
2010-12-09,7.64,7.66,7.58,7.58,1092700,7.58
2010-12-08,7.57,7.68,7.57,7.58,1592800,7.58
2010-12-07,7.38,7.55,7.38,7.55,686700,7.55
2010-12-06,7.46,7.56,7.46,7.48,1262800,7.48
2010-12-03,7.68,7.70,7.61,7.64,334600,7.64
2010-12-02,7.65,7.67,7.65,7.67,218700,7.67
2010-12-01,7.49,7.52,7.46,7.52,673400,7.52
2010-11-30,7.59,7.68,7.40,7.54,1104200,7.54
2010-11-29,7.68,7.68,7.68,7.68,70000,7.68
2010-11-26,7.55,7.55,7.55,7.55,70000,7.55
2010-11-25,7.49,7.55,7.45,7.52,763300,7.52
2010-11-24,7.19,7.38,7.19,7.38,443100,7.38
2010-11-23,7.34,7.34,7.19,7.19,753900,7.19
2010-11-22,7.44,7.48,7.38,7.42,763700,7.42
2010-11-19,7.32,7.45,7.24,7.45,996100,7.45
2010-11-18,7.25,7.28,7.18,7.25,717100,7.25
2010-11-17,7.23,7.36,7.13,7.14,686700,7.14
2010-11-16,7.50,7.62,7.31,7.35,1456300,7.35
2010-11-15,7.64,7.64,7.51,7.51,1109800,7.51
2010-11-12,8.05,8.05,7.51,7.55,1053100,7.55
2010-11-11,8.04,8.21,8.04,8.06,483000,8.06
2010-11-10,8.20,8.20,8.06,8.06,341600,8.06
2010-11-09,8.17,8.21,8.16,8.20,768600,8.20
2010-11-08,8.09,8.22,8.05,8.22,911400,8.22
2010-11-05,8.08,8.19,8.08,8.19,1684500,8.19
2010-11-04,7.82,7.99,7.81,7.99,471800,7.99
2010-11-03,7.82,7.89,7.73,7.76,1195600,7.76
2010-11-02,7.85,7.98,7.85,7.86,1019900,7.86
2010-11-01,7.55,7.76,7.55,7.76,451500,7.76
2010-10-29,7.53,7.58,7.53,7.53,000,7.53
2010-10-28,7.48,7.48,7.48,7.48,5900,7.48
2010-10-27,7.70,7.70,7.69,7.69,11900,7.69
2010-10-26,7.61,7.61,7.54,7.56,125600,7.56
2010-10-25,7.57,7.57,7.54,7.54,6600,7.54
2010-10-22,7.45,7.50,7.45,7.45,000,7.45
2010-10-21,7.29,7.31,7.29,7.31,359800,7.31
2010-10-20,7.23,7.23,7.23,7.23,3500,7.23
2010-10-19,7.45,7.50,7.45,7.45,000,7.45
2010-10-18,7.45,7.46,7.43,7.43,17500,7.43
2010-10-15,7.36,7.36,7.36,7.36,52500,7.36
2010-10-14,7.14,7.20,7.13,7.13,1420300,7.13
2010-10-13,7.03,7.10,7.03,7.10,809500,7.10
2010-10-12,7.00,7.00,6.92,7.00,140000,7.00
2010-10-11,6.92,7.09,6.92,7.05,239700,7.05
2010-10-08,6.73,6.85,6.73,6.85,122500,6.85
2010-10-07,6.73,6.75,6.73,6.75,35700,6.75
2010-10-06,6.75,6.77,6.73,6.77,1753100,6.77
2010-10-05,6.67,6.72,6.67,6.67,000,6.67
2010-10-04,6.61,6.68,6.61,6.68,498700,6.68
2010-09-30,6.52,6.53,6.49,6.53,2056600,6.53
2010-09-29,7.00,7.00,6.44,6.45,2279900,6.45
2010-09-28,6.56,6.56,6.46,6.48,1443000,6.48
2010-09-27,6.47,6.58,6.47,6.56,2586500,6.56
2010-09-24,6.39,6.44,6.37,6.44,2463600,6.44
2010-09-22,6.36,6.43,6.36,6.42,3824800,6.42
2010-09-21,6.37,6.43,6.35,6.43,2027500,6.43
2010-09-20,6.34,6.37,6.34,6.35,2326100,6.35
2010-09-17,6.36,6.41,6.35,6.39,2980200,6.39
2010-09-16,6.24,6.28,6.21,6.27,2004400,6.27
2010-09-15,6.38,6.39,6.31,6.35,2921100,6.35
2010-09-14,6.42,6.42,6.38,6.42,506100,6.42
2010-09-13,6.35,6.38,6.34,6.37,2301600,6.37
2010-09-10,6.23,6.23,6.20,6.20,449700,6.20
2010-09-09,6.22,6.23,6.17,6.19,591800,6.19
2010-09-08,6.24,6.28,6.23,6.23,1117200,6.23
2010-09-07,6.24,6.29,6.23,6.28,959300,6.28
2010-09-06,6.22,6.27,6.14,6.27,818600,6.27
2010-09-03,6.15,6.15,6.15,6.15,89900,6.15
2010-09-02,6.06,6.07,6.05,6.07,492400,6.07
2010-09-01,6.11,6.12,6.02,6.02,239400,6.02
2010-08-31,6.09,6.10,6.05,6.06,1553300,6.06
2010-08-30,6.09,6.10,6.05,6.08,2612700,6.08
2010-08-27,6.01,6.04,5.99,5.99,1094800,5.99
2010-08-26,6.06,6.06,5.98,6.01,1416400,6.01
2010-08-25,6.01,6.03,5.95,5.96,2276700,5.96
2010-08-24,6.09,6.17,6.09,6.10,2588600,6.10
2010-08-23,6.11,6.12,6.07,6.12,1571100,6.12
2010-08-20,6.16,6.17,6.12,6.16,1632700,6.16
2010-08-19,6.25,6.26,6.25,6.26,719600,6.26
2010-08-18,6.24,6.26,6.24,6.26,586600,6.26
2010-08-17,6.29,6.30,6.23,6.27,1300200,6.27
2010-08-16,6.09,6.25,6.09,6.24,982800,6.24
2010-08-13,6.00,6.10,5.99,6.08,1898400,6.08
2010-08-12,6.05,6.09,6.02,6.05,1321900,6.05
2010-08-11,6.13,6.14,6.07,6.09,3632300,6.09
2010-08-10,6.18,6.19,6.11,6.12,2262400,6.12
2010-08-09,6.34,6.35,6.34,6.35,539700,6.35
2010-08-06,6.13,6.28,6.13,6.28,1837500,6.28
2010-08-05,6.20,6.21,6.13,6.17,2080700,6.17
2010-08-04,6.18,6.28,6.16,6.26,2700200,6.26
2010-08-03,6.30,6.31,6.21,6.22,2033800,6.22
2010-08-02,6.38,6.39,6.37,6.37,858500,6.37
2010-07-30,6.29,6.34,6.28,6.32,1901900,6.32
2010-07-29,6.34,6.35,6.32,6.33,1057300,6.33
2010-07-28,6.22,6.30,6.21,6.29,2244900,6.29
2010-07-27,6.18,6.23,6.17,6.22,1748900,6.22
2010-07-26,6.14,6.22,6.13,6.19,3400600,6.19
2010-07-23,6.02,6.13,6.02,6.13,2897300,6.13
