Date,Open,High,Low,Close,Volume,Adj Close
2010-12-23,12644.90,12669.51,12498.69,12516.52,000,12516.52
2010-12-22,12648.12,12709.76,12583.26,12611.30,000,12611.30
2010-12-21,12466.94,12629.81,12416.63,12607.43,000,12607.43
2010-12-20,12481.00,12485.31,12245.43,12408.49,000,12408.49
2010-12-17,12435.40,12499.97,12341.67,12468.88,000,12468.88
2010-12-16,12606.34,12623.00,12392.35,12434.95,000,12434.95
2010-12-15,12819.91,12819.91,12556.46,12585.04,000,12585.04
2010-12-14,12852.89,12877.48,12767.55,12865.05,000,12865.05
2010-12-13,12762.71,12860.35,12657.74,12751.82,000,12751.82
2010-12-10,12673.95,12734.41,12523.84,12661.01,000,12661.01
2010-12-09,12749.46,12831.19,12690.16,12731.42,000,12731.42
2010-12-08,12901.38,12910.76,12676.86,12735.86,000,12735.86
2010-12-07,12790.17,12957.73,12734.64,12922.24,000,12922.24
2010-12-06,13046.44,13089.91,12787.97,12804.77,000,12804.77
2010-12-03,13135.23,13195.74,12916.84,12937.10,000,12937.10
2010-12-02,13146.74,13185.02,13016.71,13087.40,000,13087.40
2010-12-01,12826.56,13001.29,12714.53,12949.85,000,12949.85
2010-11-30,12853.02,12933.03,12668.83,12817.59,000,12817.59
2010-11-29,12704.47,12894.46,12673.49,12888.27,000,12888.27
2010-11-26,12851.07,12931.46,12727.90,12757.10,000,12757.10
2010-11-25,12913.30,13072.52,12882.96,12931.11,000,12931.11
2010-11-24,12962.43,13025.38,12838.98,12872.05,000,12872.05
2010-11-23,13038.97,13067.29,12783.61,12817.32,000,12817.32
2010-11-22,13160.35,13218.58,13057.20,13193.71,000,13193.71
2010-11-19,13197.41,13253.43,12938.50,13170.65,000,13170.65
2010-11-18,13026.91,13193.34,12956.97,13168.49,000,13168.49
2010-11-17,13037.07,13140.39,12855.20,12876.34,000,12876.34
2010-11-16,13407.66,13497.33,13126.08,13192.58,000,13192.58
2010-11-15,13706.82,13715.30,13389.66,13416.25,000,13416.25
2010-11-12,13862.03,13984.83,13611.55,13663.14,000,13663.14
2010-11-11,13949.75,14185.67,13860.49,14088.03,000,14088.03
2010-11-10,13993.34,14001.22,13784.04,13889.32,000,13889.32
2010-11-09,14158.72,14158.72,13988.48,14022.95,000,14022.95
2010-11-08,14137.99,14219.48,14063.37,14204.13,000,14204.13
2010-11-05,14145.35,14183.21,14038.21,14107.29,000,14107.29
2010-11-04,13974.20,14029.63,13879.54,13948.49,000,13948.49
2010-11-03,13641.59,13860.89,13539.99,13820.99,000,13820.99
2010-11-01,13376.14,13509.16,13376.14,13508.17,000,13508.17
2010-10-29,13287.88,13313.47,13021.61,13168.68,000,13168.68
2010-10-28,13360.14,13360.14,13273.53,13326.90,000,13326.90
2010-10-27,13573.94,13689.24,13235.02,13259.10,000,13259.10
2010-10-26,13721.83,13721.83,13553.99,13642.45,000,13642.45
2010-10-25,13552.10,13761.84,13533.56,13626.08,000,13626.08
2010-10-22,13611.99,13644.25,13469.19,13494.80,000,13494.80
2010-10-21,13607.05,13659.13,13437.96,13615.41,000,13615.41
2010-10-20,13356.29,13592.55,13243.01,13448.83,000,13448.83
2010-10-19,13491.71,13599.81,13444.15,13573.60,000,13573.60
2010-10-18,13607.73,13634.10,13410.87,13420.32,000,13420.32
2010-10-15,13520.52,13674.68,13469.24,13613.22,000,13613.22
2010-10-14,13463.89,13597.33,13415.05,13575.95,000,13575.95
2010-10-13,13104.60,13309.61,12994.56,13301.49,000,13301.49
2010-10-12,12924.85,12992.04,12861.95,12979.00,000,12979.00
2010-10-11,12953.02,13058.06,12911.90,12951.90,000,12951.90
2010-10-08,12745.49,12919.98,12712.38,12758.23,000,12758.23
2010-10-07,12840.04,12840.04,12715.16,12738.07,000,12738.07
2010-10-06,12901.51,12928.27,12770.47,12772.03,000,12772.03
2010-10-05,12541.38,12691.65,12532.61,12682.85,000,12682.85
2010-10-04,12531.86,12678.85,12527.93,12614.18,000,12614.18
2010-09-30,12378.43,12424.49,12325.58,12406.10,000,12406.10
2010-09-29,12324.53,12452.96,12324.22,12429.28,000,12429.28
2010-09-28,12281.51,12340.90,12140.87,12180.20,000,12180.20
2010-09-27,12332.87,12373.26,12293.26,12316.80,000,12316.80
2010-09-24,12182.83,12235.51,12151.53,12218.60,000,12218.60
2010-09-22,12267.12,12284.44,12182.48,12196.00,000,12196.00
2010-09-21,12240.24,12240.24,12140.54,12193.31,000,12193.31
2010-09-20,12153.65,12204.86,12116.99,12164.65,000,12164.65
2010-09-17,12023.34,12186.95,12012.75,12171.19,000,12171.19
2010-09-16,12035.06,12035.06,11856.48,12001.41,000,12001.41
2010-09-15,12202.33,12202.33,12041.17,12088.30,000,12088.30
2010-09-14,12166.83,12188.22,12120.30,12135.51,000,12135.51
2010-09-13,11964.45,12142.32,11961.28,12088.51,000,12088.51
2010-09-10,11951.68,11951.68,11737.17,11835.93,000,11835.93
2010-09-09,11824.89,11922.99,11793.89,11830.46,000,11830.46
