date,HalfDay,turnover,vol,deal
1990-04-02,0,1201094344,701582002,19550
1990-04-03,0,1142904075,735843973,19736
1990-04-04,0,1177188550,813993728,20161
1990-04-06,0,1127174396,666042880,17761
1990-04-09,0,911095313,506091971,13748
1990-04-10,0,791427439,451394375,12462
1990-04-11,0,956932802,476125801,11532
1990-04-12,0,1304553549,742604148,18887
1990-04-17,0,1525895588,857762882,18725
1990-04-18,0,1547563020,970882418,21247
1990-04-19,0,1829042841,1030122798,25066
1990-04-20,0,1547212001,915480040,22163
1990-04-23,0,1332028708,913220462,23321
1990-04-24,0,1084144631,779958994,18449
1990-04-25,0,1162801498,758887118,17033
1990-04-26,0,976893815,767427036,15371
1990-04-27,0,895260364,726109384,15071
1990-04-30,0,818471137,649557275,14334
1990-05-01,0,719948849,617554391,13431
1990-05-02,0,810604215,821374534,16374
1990-05-03,0,867512306,666577420,12906
1990-05-04,0,918543182,759495889,15151
1990-05-07,0,1118198339,919407577,19535
1990-05-08,0,1230175815,1167649717,22136
1990-05-09,0,1068014196,866127989,17161
1990-05-10,0,1461099630,1230796699,23554
1990-05-11,0,1333435171,1003545298,23612
1990-05-14,0,1181180521,1087530430,21542
1990-05-15,0,1187122116,1247179224,21708
1990-05-16,0,1046017960,924209507,15741
1990-05-17,0,902280306,831805130,17021
1990-05-18,0,1285398121,810808134,17431
1990-05-21,0,731178289,720904983,13734
1990-05-22,0,1193677401,894738420,18239
1990-05-23,0,1915446158,1038202675,25079
1990-05-24,0,1583229467,980507986,23243
1990-05-25,0,1597547765,946783319,21608
1990-05-29,0,1167177063,718729550,20315
1990-05-30,0,1549296261,930609694,24207
1990-05-31,0,2117457749,1081367574,28874
1990-06-01,0,2209771294,1250887310,30236
1990-06-04,0,2131200191,1354071941,31160
1990-06-05,0,1757819809,1950109141,27803
1990-06-06,0,2184874902,1935943205,31793
1990-06-07,0,2101636885,1689855706,34331
1990-06-08,0,2185294859,1929970053,36012
1990-06-11,0,1613404542,1729713340,29764
1990-06-12,0,2278127534,5853740361,29276
1990-06-13,0,2058569536,2150500371,29924
1990-06-14,0,1660929639,1546541446,28732
1990-06-15,0,1960462139,1782121636,32488
1990-06-19,0,2064631740,1698333005,33115
1990-06-20,0,2354891575,1473607106,34851
1990-06-21,0,2149907583,1772317769,34553
1990-06-22,0,2205041992,1512644058,33977
1990-06-25,0,2336554117,2074252060,34300
1990-06-26,0,2464328882,1742420530,34609
1990-06-27,0,2014705341,1473507560,30871
1990-06-28,0,1657962308,1301464443,27236
1990-06-29,0,1721744028,1186130179,26866
1990-07-02,0,1999140523,1229018609,28829
1990-07-03,0,2164833216,1230099750,33078
1990-07-04,0,1845718083,1355526680,30076
1990-07-05,0,1658198611,1133122232,26070
1990-07-06,0,1818357387,1512446446,27061
1990-07-09,0,1845672402,1737120998,30797
1990-07-10,0,2130820085,1629148188,33180
1990-07-11,0,2743259052,1680906917,36515
1990-07-12,0,2392729693,1410557097,34016
1990-07-13,0,2593257258,1528518583,38237
1990-07-16,0,2500130200,1511576235,35036
1990-07-17,0,1765800488,1358607383,31892
1990-07-18,0,2278958967,2255027742,37645
1990-07-19,0,2489202797,2163200689,38896
1990-07-20,0,2332492251,2096418390,39891
1990-07-23,0,2618877191,2678290549,40274
1990-07-24,0,2591309741,2451074787,39163
1990-07-25,0,2412914998,3574937325,37332
1990-07-26,0,2029394208,2469983661,34247
1990-07-27,0,1892868481,1902106477,32139
1990-07-30,0,1648778286,1692127939,24840
1990-07-31,0,1552902607,1189898694,25143
1990-08-01,0,1798658148,1421812093,27200
1990-08-02,0,1903968518,1395490932,27538
1990-08-03,0,1880679692,1261105009,30892
1990-08-06,0,2707721813,1547131675,37967
1990-08-07,0,3280819385,1802728105,45549
1990-08-08,0,2864869781,1739397260,41312
1990-08-09,0,1773036598,1045755570,24754
1990-08-10,0,1386639439,880370405,23338
1990-08-13,0,887993305,620726587,17469
1990-08-14,0,818456086,551388549,14810
1990-08-15,0,1432249770,1038713087,24747
1990-08-16,0,1057931294,829323322,20126
1990-08-17,0,1117177925,887783486,19310
1990-08-20,0,795478846,614178015,15067
1990-08-21,0,717639410,509981137,13510
1990-08-22,0,1074033097,737870227,18771
1990-08-23,0,1337250269,980667087,25925
1990-08-24,0,1198375575,980178175,26018
1990-08-28,0,1493265444,1145499594,28654
1990-08-29,0,823527751,591947955,16136
1990-08-30,0,919984389,706486745,18038
1990-08-31,0,978150172,823605571,19886
1990-09-03,0,777580764,838154297,17553
1990-09-04,0,636008409,564221028,11724
1990-09-05,0,669702144,509635350,13807
1990-09-06,0,606524218,432394250,11896
1990-09-07,0,631486457,459826852,11667
1990-09-10,0,618102040,537224207,13330
1990-09-11,0,480389146,382808077,9901
1990-09-12,0,650345168,529853189,13779
1990-09-13,0,656523625,512334605,13381
1990-09-14,0,520487584,517392797,10673
1990-09-17,0,457296270,336982996,8860
1990-09-18,0,598992138,344108062,10325
1990-09-19,0,385106044,231213898,6973
1990-09-20,0,429683704,309451521,8361
1990-09-21,0,620438036,412922753,11875
1990-09-24,0,575356119,423575217,10810
1990-09-25,0,599540106,468748926,13108
1990-09-26,0,689894288,550180056,14548
1990-09-27,0,560393295,394174246,10685
1990-09-28,0,609427271,415512909,10882
1990-10-01,0,463471521,350923568,9509
1990-10-02,0,1016848083,1539940870,19996
1990-10-03,0,863516238,939653483,14452
1990-10-05,0,809667840,811212288,12606
1990-10-08,0,575369021,447553930,10261
1990-10-09,0,551565460,1576156601,12169
1990-10-10,0,587665398,1025886697,11942
1990-10-11,0,482907070,1199703929,10967
1990-10-12,0,656707521,1000210268,14065
1990-10-15,0,596650522,737681658,13605
1990-10-16,0,650233714,1029843653,14080
1990-10-17,0,833665006,1007677800,16450
1990-10-18,0,797114328,902557627,17825
1990-10-19,0,1083099645,1262464121,22680
1990-10-22,0,982130358,1051195935,20713
1990-10-23,0,1346465378,1004816260,23955
1990-10-24,0,1044138935,910268131,21235
1990-10-25,0,1032017630,1246173685,24020
1990-10-29,0,1091670472,964446546,21450
1990-10-30,0,859590768,753327710,17547
1990-10-31,0,720281032,694742244,15914
1990-11-01,0,716522006,659984127,14139
1990-11-02,0,670208030,667735541,14975
1990-11-05,0,709862778,665623716,16774
1990-11-06,0,741206033,689120746,15624
1990-11-07,0,774522952,666894271,15545
1990-11-08,0,778709561,576427773,14139
1990-11-09,0,744653377,543005515,12899
1990-11-12,0,785024284,632113329,14644
1990-11-13,0,1057503881,922141284,20064
1990-11-14,0,1070497557,774989584,17642
1990-11-15,0,886377785,693413548,14721
1990-11-16,0,969143908,663434647,13903
1990-11-19,0,823420283,500616146,13049
1990-11-20,0,827674292,507767035,12797
1990-11-21,0,758418164,445404995,11976
1990-11-22,0,683302488,501632001,11405
1990-11-23,0,583029901,365502517,9980
1990-11-26,0,591154429,392950433,9479
1990-11-27,0,578986161,437379254,10140
1990-11-28,0,530290218,370658549,8896
1990-11-29,0,432999666,299682993,7429
1990-11-30,0,545992914,278451373,8147
1990-12-03,0,709981229,372322138,11225
1990-12-04,0,536116794,277915913,8040
1990-12-05,0,943476991,488464893,13858
1990-12-06,0,1179154801,622523553,17439
1990-12-07,0,1595855151,789676463,23100
1990-12-10,0,961318822,520793372,13741
1990-12-11,0,725269468,326266632,9986
1990-12-12,0,682742186,348637321,10785
1990-12-13,0,752289028,400021369,11287
1990-12-14,0,717053224,316783152,9015
1990-12-17,0,693696189,372157856,10952
1990-12-18,0,681228898,392341045,12108
1990-12-19,0,489052567,257079613,8429
1990-12-20,0,587184915,338482914,8352
1990-12-21,0,552589305,378217190,9263
1990-12-24,1,270853846,148614818,4870
1990-12-27,0,341160502,218204138,5804
1990-12-28,0,338364368,234215348,7023
1990-12-31,1,279218203,177618833,5595
1991-01-02,0,241350911,159524763,4821
1991-01-03,0,332903096,177475897,5523
1991-01-04,0,397277340,226162354,7454
1991-01-07,0,399393093,273769530,6727
1991-01-08,0,327234008,213082158,6118
1991-01-09,0,354403481,206572184,6616
1991-01-10,0,454212086,239202720,7206
1991-01-11,0,486185512,222073838,7275
1991-01-14,0,495435006,227531061,6661
1991-01-15,0,389360806,207427120,6399
1991-01-16,0,303473934,178784827,4975
1991-01-17,0,924974952,504655229,15888
1991-01-18,0,773742559,339700570,12402
1991-01-21,0,508829852,316521852,7529
1991-01-22,0,615613620,418010605,8535
1991-01-23,0,649281652,570570220,9594
1991-01-24,0,1030361044,649883521,16232
1991-01-25,0,1689898059,1197046213,24966
1991-01-28,0,1269459210,923464186,19709
1991-01-29,0,1026735437,787624410,17455
1991-01-30,0,732055983,478737503,11685
1991-01-31,0,1112686271,688553696,17258
1991-02-01,0,1047633283,582373155,12004
1991-02-04,0,787582550,459365317,11292
1991-02-05,0,1539029224,877420306,23075
1991-02-06,0,1551443281,979461485,23031
1991-02-07,0,1690151352,1353392867,25038
1991-02-08,0,1270444898,980865132,19148
1991-02-11,0,1347296441,1064038125,22759
1991-02-12,0,1552642325,1103530396,23880
1991-02-13,0,1448956590,1120427299,22197
1991-02-18,0,1889565859,1259336161,27805
1991-02-19,0,1652233683,903457331,22347
1991-02-20,0,1420159437,799186424,18279
1991-02-21,0,1462656547,931331004,19993
1991-02-22,0,1281344419,902508814,20196
1991-02-25,0,1203130402,991216151,18646
1991-02-26,0,1616516833,1160840856,22871
1991-02-27,0,1157363814,731695880,16584
1991-02-28,0,1638513949,1114210471,25304
1991-03-01,0,2158822350,1423240350,30949
1991-03-04,0,1720409113,1389428113,29752
1991-03-05,0,2021518509,1439365656,33770
1991-03-06,0,2455703541,1344327225,35698
1991-03-07,0,2231194395,1194174528,27636
1991-03-08,0,1817399881,1103883240,25479
1991-03-11,0,1892336601,1200739428,23627
1991-03-12,0,1255438790,654405048,17966
1991-03-13,0,1325810474,681903848,17309
1991-03-14,0,1322538059,749043288,19978
1991-03-15,0,1764011516,826946613,24519
1991-03-18,0,1687352202,892756599,22504
1991-03-19,0,1793328865,992286955,24127
1991-03-20,0,1634937015,860383134,22162
1991-03-21,0,1612751270,802949926,20516
1991-03-22,0,1705018989,945915473,20314
1991-03-25,0,1492925619,729053326,19605
1991-03-26,0,1680382209,669315382,18221
1991-03-27,0,1133867424,562839304,15289
1991-03-28,0,1282234287,525414160,15138
1991-04-02,0,1240905432,526292571,16802
1991-04-03,0,2223878348,984341864,26787
1991-04-04,0,2114853843,833612410,24976
1991-04-08,0,2014164714,713325471,23330
1991-04-09,0,1648017734,1014001770,19677
1991-04-10,0,1601955662,626843413,19027
1991-04-11,0,1499875696,648523899,19079
1991-04-12,0,1530233404,665003733,18997
1991-04-15,0,1145669983,633461883,15981
1991-04-16,0,1120635406,489969977,16441
1991-04-17,0,991558744,427336060,14981
1991-04-18,0,1285278221,622825999,16823
1991-04-19,0,1217654362,706946500,18172
