Date,DayofWeek,O,H,L,Adj_C,Vol,HKHalfday,HKTurnover,HKVol,HKDeal
2001-09-19,3,9402.65,9560.94,9377.56,9558.15,333256200,0,6491309756,4047571446,80330
2001-09-20,4,9415.1,9415.1,9249.16,9317.98,284966400,0,7060248582,3931853082,80238
2001-09-21,5,9039.65,9039.65,8894.36,8934.2,519940400,0,8424782320,3701701703,84747
2001-09-24,1,8971.47,9292.27,8971.47,9284.5,442181500,0,7122259517,4150509244,82647
2001-09-25,2,9411.35,9440.27,9166.12,9210.06,367545800,0,8089199295,5124078297,100917
2001-09-26,3,9307.76,9416.95,9251.31,9371.75,390860600,0,5984800722,4160774477,69181
2001-09-27,4,9387.8,9602.35,9302,9600.79,296667600,0,5917657209,3812877852,71532
2001-09-28,5,9682.35,9959.35,9663.08,9950.7,320775600,0,7724751448,4521271639,93375
2001-10-03,3,9995.22,10098.69,9883.76,9897.14,333197400,0,7104793801,3887130445,81079
2001-10-04,4,10082.75,10293.64,10082.75,10286.39,358779000,0,7390739548,4562612012,92325
2001-10-05,5,10221.76,10315.01,10120.28,10277.38,576213400,0,7510846823,4842332566,99401
2001-10-08,1,10153.56,10153.56,9904.93,9967.83,511535600,0,6776085369,5596952088,92588
2001-10-09,2,10053.88,10361.97,10053.88,10358.93,409534200,0,7458247459,6844300327,107200
2001-10-10,3,10335.57,10425.38,10184.6,10298.24,370696800,0,7214360125,5679811722,97487
2001-10-11,4,10475.36,10638.58,10475.36,10522.61,398527200,0,9258779955,7733977794,125032
2001-10-12,5,10614.69,10614.69,10243.68,10274.13,388528000,0,8603442376,5321841456,106904
2001-10-15,1,10195.64,10232.07,10081.28,10130.59,275161200,0,5374819089,3719126456,64525
2001-10-16,2,10164.64,10229.16,10056.83,10148.49,192816600,0,4553564464,3572447925,57731
2001-10-17,3,10118.14,10331.82,10091.94,10260.81,414838800,0,8330614238,5018695649,84637
2001-10-18,4,10101.9,10101.9,9817.92,9880.61,365696000,0,6939814947,4806176691,80651
2001-10-19,5,9894.42,9948,9801.63,9825.84,297211400,0,5906053474,4649428451,69433
2001-10-22,1,9832.11,9874.39,9758.98,9797.54,236566000,0,4478585629,4593588797,59457
2001-10-23,2,9935.9,10224.12,9935.9,10219.84,344018800,0,7775593670,7820879263,104615
2001-10-24,3,10231.39,10280.09,10158.73,10243.46,287418600,0,7069783601,7025245852,88502
2001-10-26,5,10330.44,10475.19,10330.44,10404.74,346798600,0,7319967883,5870659205,85203
2001-10-29,1,10406.93,10406.93,10079.03,10178.09,294616600,0,6313177734,4468373073,70490
2001-10-30,2,10064.07,10139.71,9927.41,10076.43,250693600,0,7370544259,6308023725,104124
2001-10-31,3,10025.82,10091.65,9945.54,10073.97,222865600,0,6546149470,5353679375,88114
2001-11-01,4,10110.92,10189.56,10107.09,10158.85,203404400,0,6322393320,6215183805,95487
2001-11-02,5,10238.1,10333.88,10097.64,10186.06,251110800,0,6478423164,5923439192,92113
2001-11-05,1,10202.3,10434.78,10165.51,10430.72,244442600,0,6600676086,4471844009,82889
2001-11-06,2,10528.17,10556.72,10303.06,10356.05,265733600,0,7396138043,4915245547,92209
2001-11-07,3,10419.24,10454.69,10216.51,10269.79,257144400,0,6306009129,4813166635,80317
2001-11-08,4,10295.96,10594.55,10280.86,10538.62,413372800,0,8628643628,4789260598,90581
2001-11-09,5,10516.46,10716.55,10465.67,10609.25,403177400,0,7379479031,4823529480,86292
2001-11-12,1,10618.07,10699.54,10541.02,10592.45,239130600,0,5319132443,3977518890,67990
2001-11-13,2,10536.59,10713.61,10462.02,10662.84,215009000,0,5049669907,3471427629,65367
2001-11-14,3,10781.71,10954.74,10781.71,10950.04,380540800,0,7515097966,5185634127,97913
2001-11-15,4,10958.66,11280.27,10936.71,11239.39,755798400,0,11301531214,6759076273,122261
2001-11-16,5,11220.12,11393.49,11170.3,11287.37,404935200,0,9965134921,7197889661,119159
2001-11-19,1,11292.98,11396.36,11292.98,11360.26,288361400,0,6662347160,5989581407,82618
2001-11-20,2,11347.31,11501.04,11148.26,11225.79,611346400,0,9420006284,7871096995,115219
2001-11-21,3,11208.28,11311.8,11149.51,11173.92,363374200,0,6981545176,4496771277,77669
2001-11-22,4,11162.82,11261.77,11114.54,11253.3,270360400,0,5499437430,5029809756,72414
2001-11-23,5,11289.34,11346.33,11271.03,11322.36,234529600,0,6007909931,5902641605,85135
2001-11-26,1,11380,11525.26,11316.74,11391.96,337983000,0,7357715226,5993354010,94313
2001-11-27,2,11402.03,11428.49,11216.53,11261.54,269437000,0,6601092024,6757262905,84737
2001-11-28,3,11225.41,11225.41,11012.47,11066.19,362437400,0,7069277088,5097155462,84790
2001-11-29,4,10974.66,11120.74,10905.04,11090.74,350880400,0,7101268590,5143395287,81757
2001-11-30,5,11116.34,11359.12,11116.34,11279.25,407022600,0,9096087643,5947169384,95044
2001-12-03,1,11253.98,11257.71,11049.15,11155.15,357658600,0,7107141407,4990972110,79516
2001-12-04,2,11169.26,11429.68,11076.32,11427.28,441430000,0,7789471353,6525972132,94737
2001-12-05,3,11505.11,11706.09,11505.11,11678.44,544663200,0,11499886586,7759354825,128171
2001-12-06,4,11818.99,11957.83,11672.55,11745.84,700296400,0,13799448165,8161138753,146484
2001-12-07,5,11782.47,11848.09,11697.09,11832.18,309706200,0,7576365311,5800447274,92180
2001-12-10,1,11786.91,11836.21,11709.37,11784.92,237999600,0,6051959361,5645595458,80553
2001-12-11,2,11756.53,11756.53,11633.22,11693.05,226849200,0,6063877823,10176890230,81581
2001-12-12,3,11698.71,11865.17,11592.47,11847.06,320961600,0,8553695770,8125621671,104444
2001-12-13,4,11803.02,11875.03,11515.13,11529.54,349863600,0,8273762459,6592847554,109238
2001-12-14,5,11497.59,11521.04,11349.51,11466.11,323402200,0,7620730611,8681875263,93589
2001-12-17,1,11464.38,11576.31,11361.35,11465.78,175376000,0,5043004742,6594568217,67671
2001-12-18,2,11521.68,11599.57,11391.33,11486.93,189541200,0,5002968031,5899043283,66555
2001-12-19,3,11523.92,11597.13,11523.92,11565.23,147141600,0,4857108995,4762193891,58580
2001-12-20,4,11547.92,11639.22,11447.73,11601.14,259933800,0,6104100026,5376532226,66458
2001-12-21,5,11500.29,11500.29,11122.2,11158.1,277009200,0,6689761046,3729952055,71704
2001-12-24,1,11189.52,11249.9,11182.45,11209.78,79446000,1,2100441923,1785889237,23229
2001-12-27,4,11250.05,11415.04,11208.47,11359.5,129996400,0,2906478642,2354209010,36314
2001-12-28,5,11359.5,11432.29,11309.02,11431.59,148860200,0,3100546029,3154378039,39359
2001-12-31,1,11431.59,11451.79,11347.79,11397.21,64712600,1,1751713971,2034012558,23858
2002-01-02,3,11368.13,11368.13,11241.63,11350.85,106074600,0,2734313364,5155041781,50551
2002-01-03,4,11348.8,11447,11348.8,11423.52,274626200,0,4795469714,5682981066,74393
2002-01-04,5,11547.01,11727.81,11547.01,11702.15,362553600,0,7446540706,5348497613,92492
2002-01-07,1,11687.43,11905.55,11687.43,11892.64,442387000,0,9339318801,6421202437,110328
2002-01-08,2,11781.19,11806.25,11678.06,11713.71,279504600,0,7168395692,5248852877,88940
2002-01-09,3,11711.77,11783.7,11369.63,11440.72,428711600,0,10395376260,5963087144,107079
2002-01-10,4,11361.09,11361.09,11168.89,11256.07,354783400,0,9176988367,6812664683,101186
2002-01-11,5,11278.86,11351.75,11085.47,11166.46,316216600,0,8282148986,8184369523,103958
2002-01-14,1,11081.38,11213.86,11029.22,11209.43,210140000,0,5846945546,5249621055,70787
2002-01-15,2,11071.49,11071.49,10965.24,11013.59,230468200,0,6700271206,5665528891,80403
2002-01-16,3,11035.49,11080.55,10910.75,10964.09,194573800,0,6084071477,5167337478,76707
2002-01-17,4,10888.11,11020.21,10808,11013.84,221629000,0,6598666592,5340802762,78482
2002-01-18,5,11023.79,11065.53,10934.01,10972.96,373829400,0,5991709995,4887970060,78446
2002-01-21,1,10967.09,11083.17,10941.47,11000.25,213151400,0,4834354153,3292300073,54951
2002-01-22,2,10991.4,10997.9,10778.78,10797.69,251469600,0,5336890034,4145015007,67119
2002-01-23,3,10750.98,10793.07,10689.06,10762.14,225157600,0,5131051619,3565677690,58770
2002-01-24,4,10796.81,10847.53,10690.63,10741.46,199480800,0,5711651024,5244727912,71675
2002-01-25,5,10789,10842.47,10718.27,10772.96,290674000,0,8589677405,5776506229,100485
2002-01-28,1,10749.08,10891.59,10748.1,10767.46,257612600,0,7429079174,5329094078,87206
2002-01-29,2,10774.61,11041.82,10744.14,11014.24,378839800,0,8473953231,5533100225,93366
2002-01-30,3,10895.7,10895.7,10699.94,10756.96,295195000,0,7774645962,5911076682,89499
2002-01-31,4,10797.99,10953.57,10671.77,10725.3,267648000,0,8050747878,6715652094,94469
2002-02-01,5,10764.03,10827.39,10673.66,10691.25,192217000,0,6352509327,5578673951,74463
2002-02-04,1,10680.32,10806.68,10661.13,10721.32,267871800,0,5517090533,4129250967,61096
2002-02-05,2,10627.85,10636.23,10541.28,10609.19,292116000,0,6088344830,4300461767,65653
2002-02-06,3,10590.26,10633.12,10542.29,10592.39,238613600,0,5965785292,3779642975,62774
2002-02-07,4,10556.29,10601.3,10393.83,10409.68,419402800,0,8070652087,4468579726,78649
2002-02-08,5,10441.19,10526.75,10421.48,10518.99,259185400,0,6285498232,3967861076,66500
2002-02-11,1,10596.06,10843.26,10596.06,10832.74,184738200,1,4500929283,2607051158,48095
2002-02-15,5,11005.85,11108.48,10914.71,10961.88,292406600,0,7568887633,3733057355,78535
2002-02-18,1,10905.49,11007,10867.82,11002.81,181042600,0,6275430497,5509103402,84277
2002-02-19,2,10997.9,10997.9,10794.2,10840.49,167326000,0,5888230823,5191174360,76148
2002-02-20,3,10777.39,10777.39,10685.38,10749.06,193530200,0,5700715989,5193816368,76294
2002-02-21,4,10807.93,10871.1,10732.63,10788.9,186403600,0,6346847477,6174416504,84436
2002-02-22,5,10730.21,10730.21,10579.81,10664.94,155752200,0,5737054863,5332907355,71283
2002-02-25,1,10679,10683.64,10468.95,10496.02,191984600,0,6724573688,6130433115,78793
2002-02-26,2,10581.79,10667.57,10536.74,10547.13,207615800,0,7302914256,5622580840,79061
2002-02-27,3,10541.19,10757.11,10524.77,10648.71,268262400,0,7840889900,5417778570,85659
2002-02-28,4,10660.76,10677.16,10415.65,10482.55,258703600,0,8022800927,5133518209,79840
2002-03-01,5,10453.88,10473.02,10387.49,10425.31,186683400,0,5972172843,4066639411,72438
2002-03-04,1,10593.77,10720.12,10561.38,10704.12,279649600,0,7926456810,5099686130,83382
2002-03-05,2,10883.29,11004.04,10883.29,10985.84,350222000,0,10879197966,6894527381,113126
2002-03-06,3,10954.75,11040.75,10933.43,11003,270688800,0,7396416354,7324484965,90983
2002-03-07,4,11102.36,11246.31,11102.36,11188.07,483088000,0,9781928669,7344246566,112850
2002-03-08,5,11201.28,11331.12,11201.28,11233.23,360931800,0,8885952442,7925486458,96634
2002-03-11,1,11234.53,11334.31,11178.68,11318.87,264341400,0,7436003597,7457869955,93018
2002-03-12,2,11304.91,11381.85,11242.23,11273.86,275706800,0,8598998804,8126672420,117983
