@relation QueryResult_1bottom_2bottom_3bottom_4bottom_5bottom_6bottom_7bottom_8bottom_9bottom_10bottom_11bottom_12bottom_13bottom_14bottom_15bottom_16bottom_17bottom_18bottom_19bottom_20bottom_21bottom_22bottom_23bottom_24bottom_25bottom_26bottom_27bottom_28bottom_29bottom_30bottom_31bottom_32bottom_33bottom_34bottom_35bottom_36bottom_37bottom_38bottom_39bottom_40bottom_41bottom_42bottom_43bottom_44bottom_45bottom_46bottom_47bottom_48bottom_49bottom_50bottom-weka.filters.unsupervised.attribute.NumericToNominal-R4-last

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute L numeric
@attribute 1bottom {-1,0,1}
@attribute 2bottom {-1,0,1}
@attribute 3bottom {-1,0,1}
@attribute 4bottom {-1,0,1}
@attribute 5bottom {-1,0,1}
@attribute 6bottom {-1,0,1}
@attribute 7bottom {-1,0,1}
@attribute 8bottom {-1,0,1}
@attribute 9bottom {-1,0,1}
@attribute 10bottom {-1,0,1}
@attribute 11bottom {-1,0,1}
@attribute 12bottom {-1,0,1}
@attribute 13bottom {-1,0,1}
@attribute 14bottom {-1,0,1}
@attribute 15bottom {-1,0,1}
@attribute 16bottom {-1,0,1}
@attribute 17bottom {-1,0,1}
@attribute 18bottom {-1,0,1}
@attribute 19bottom {-1,0,1}
@attribute 20bottom {-1,0,1}
@attribute 21bottom {-1,0,1}
@attribute 22bottom {-1,0,1}
@attribute 23bottom {-1,0,1}
@attribute 24bottom {-1,0,1}
@attribute 25bottom {-1,0,1}
@attribute 26bottom {-1,0,1}
@attribute 27bottom {-1,0,1}
@attribute 28bottom {-1,0,1}
@attribute 29bottom {-1,0,1}
@attribute 30bottom {-1,0,1}
@attribute 31bottom {-1,0,1}
@attribute 32bottom {-1,0,1}
@attribute 33bottom {-1,0,1}
@attribute 34bottom {-1,0,1}
@attribute 35bottom {-1,0,1}
@attribute 36bottom {-1,0,1}
@attribute 37bottom {-1,0,1}
@attribute 38bottom {-1,0,1}
@attribute 39bottom {-1,0,1}
@attribute 40bottom {-1,0,1}
@attribute 41bottom {-1,0,1}
@attribute 42bottom {-1,0,1}
@attribute 43bottom {-1,0,1}
@attribute 44bottom {-1,0,1}
@attribute 45bottom {-1,0,1}
@attribute 46bottom {-1,0,1}
@attribute 47bottom {-1,0,1}
@attribute 48bottom {-1,0,1}
@attribute 49bottom {-1,0,1}
@attribute 50bottom {-1,0,1}

@data
1986-12-31T00:00:00,2568.3,2568.3,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-02T00:00:00,2540.1,2540.1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-05T00:00:00,2552.4,2552.4,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-06T00:00:00,2583.9,2583.9,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-07T00:00:00,2607.1,2607.1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-08T00:00:00,2603.3,2603.3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-09T00:00:00,2561.7,2561.7,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-12T00:00:00,2614.9,2614.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-13T00:00:00,2590.8,2590.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-14T00:00:00,2578.2,2578.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-15T00:00:00,2559.1,2559.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-16T00:00:00,2542.6,2542.6,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-19T00:00:00,2460.5,2460.5,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-20T00:00:00,2449.9,2449.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-21T00:00:00,2533.9,2533.9,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987-01-22T00:00:00,2536.9,2536.9,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
