@relation QueryResult_1top_2top_3top_4top_5top_6top_7top_8top_9top_10top_11top_12top_13top_14top_15top_16top_17top_18top_19top_20top_21top_22top_23top_24top_25top_26top_27top_28top_29top_30top_31top_32top_33top_34top_35top_36top_37top_38top_39top_40top_41top_42top_43top_44top_45top_46top_47top_48top_49top_50top-weka.filters.unsupervised.attribute.NumericToNominal-R4-last

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute H numeric
@attribute 1top {-1,0,1}
@attribute 2top {-1,0,1}
@attribute 3top {-1,0,1}
@attribute 4top {-1,0,1}
@attribute 5top {-1,0,1}
@attribute 6top {-1,0,1}
@attribute 7top {-1,0,1}
@attribute 8top {-1,0,1}
@attribute 9top {-1,0,1}
@attribute 10top {-1,0,1}
@attribute 11top {-1,0,1}
@attribute 12top {-1,0,1}
@attribute 13top {-1,0,1}
@attribute 14top {-1,0,1}
@attribute 15top {-1,0,1}
@attribute 16top {-1,0,1}
@attribute 17top {-1,0,1}
@attribute 18top {-1,0,1}
@attribute 19top {-1,0,1}
@attribute 20top {-1,0,1}
@attribute 21top {-1,0,1}
@attribute 22top {-1,0,1}
@attribute 23top {-1,0,1}
@attribute 24top {-1,0,1}
@attribute 25top {-1,0,1}
@attribute 26top {-1,0,1}
@attribute 27top {-1,0,1}
@attribute 28top {-1,0,1}
@attribute 29top {-1,0,1}
@attribute 30top {-1,0,1}
@attribute 31top {-1,0,1}
@attribute 32top {-1,0,1}
@attribute 33top {-1,0,1}
@attribute 34top {-1,0,1}
@attribute 35top {-1,0,1}
@attribute 36top {-1,0,1}
@attribute 37top {-1,0,1}
@attribute 38top {-1,0,1}
@attribute 39top {-1,0,1}
@attribute 40top {-1,0,1}
@attribute 41top {-1,0,1}
@attribute 42top {-1,0,1}
@attribute 43top {-1,0,1}
@attribute 44top {-1,0,1}
@attribute 45top {-1,0,1}
@attribute 46top {-1,0,1}
@attribute 47top {-1,0,1}
@attribute 48top {-1,0,1}
@attribute 49top {-1,0,1}
@attribute 50top {-1,0,1}

@data
1986-12-31T00:00:00,2568.3,2568.3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-02T00:00:00,2540.1,2540.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-05T00:00:00,2552.4,2552.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-06T00:00:00,2583.9,2583.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-07T00:00:00,2607.1,2607.1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-08T00:00:00,2603.3,2603.3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-09T00:00:00,2561.7,2561.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-12T00:00:00,2614.9,2614.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-13T00:00:00,2590.8,2590.8,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-14T00:00:00,2578.2,2578.2,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-15T00:00:00,2559.1,2559.1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-16T00:00:00,2542.6,2542.6,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987-01-19T00:00:00,2460.5,2460.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
