Date,O,H,L,C,Vol,Adj_C
2001-09-19,9402.65,9560.94,9377.56,9558.15,333256200,9558.15
2001-09-20,9415.1,9415.1,9249.16,9317.98,284966400,9317.98
2001-09-21,9039.65,9039.65,8894.36,8934.2,519940400,8934.2
2001-09-24,8971.47,9292.27,8971.47,9284.5,442181500,9284.5
2001-09-25,9411.35,9440.27,9166.12,9210.06,367545800,9210.06
2001-09-26,9307.76,9416.95,9251.31,9371.75,390860600,9371.75
2001-09-27,9387.8,9602.35,9302,9600.79,296667600,9600.79
2001-09-28,9682.35,9959.35,9663.08,9950.7,320775600,9950.7
2001-10-03,9995.22,10098.69,9883.76,9897.14,333197400,9897.14
2001-10-04,10082.75,10293.64,10082.75,10286.39,358779000,10286.39
2001-10-05,10221.76,10315.01,10120.28,10277.38,576213400,10277.38
2001-10-08,10153.56,10153.56,9904.93,9967.83,511535600,9967.83
2001-10-09,10053.88,10361.97,10053.88,10358.93,409534200,10358.93
2001-10-10,10335.57,10425.38,10184.6,10298.24,370696800,10298.24
2001-10-11,10475.36,10638.58,10475.36,10522.61,398527200,10522.61
2001-10-12,10614.69,10614.69,10243.68,10274.13,388528000,10274.13
2001-10-15,10195.64,10232.07,10081.28,10130.59,275161200,10130.59
2001-10-16,10164.64,10229.16,10056.83,10148.49,192816600,10148.49
2001-10-17,10118.14,10331.82,10091.94,10260.81,414838800,10260.81
2001-10-18,10101.9,10101.9,9817.92,9880.61,365696000,9880.61
2001-10-19,9894.42,9948,9801.63,9825.84,297211400,9825.84
2001-10-22,9832.11,9874.39,9758.98,9797.54,236566000,9797.54
2001-10-23,9935.9,10224.12,9935.9,10219.84,344018800,10219.84
2001-10-24,10231.39,10280.09,10158.73,10243.46,287418600,10243.46
2001-10-26,10330.44,10475.19,10330.44,10404.74,346798600,10404.74
2001-10-29,10406.93,10406.93,10079.03,10178.09,294616600,10178.09
2001-10-30,10064.07,10139.71,9927.41,10076.43,250693600,10076.43
2001-10-31,10025.82,10091.65,9945.54,10073.97,222865600,10073.97
2001-11-01,10110.92,10189.56,10107.09,10158.85,203404400,10158.85
2001-11-02,10238.1,10333.88,10097.64,10186.06,251110800,10186.06
2001-11-05,10202.3,10434.78,10165.51,10430.72,244442600,10430.72
2001-11-06,10528.17,10556.72,10303.06,10356.05,265733600,10356.05
2001-11-07,10419.24,10454.69,10216.51,10269.79,257144400,10269.79
2001-11-08,10295.96,10594.55,10280.86,10538.62,413372800,10538.62
2001-11-09,10516.46,10716.55,10465.67,10609.25,403177400,10609.25
2001-11-12,10618.07,10699.54,10541.02,10592.45,239130600,10592.45
2001-11-13,10536.59,10713.61,10462.02,10662.84,215009000,10662.84
2001-11-14,10781.71,10954.74,10781.71,10950.04,380540800,10950.04
2001-11-15,10958.66,11280.27,10936.71,11239.39,755798400,11239.39
2001-11-16,11220.12,11393.49,11170.3,11287.37,404935200,11287.37
2001-11-19,11292.98,11396.36,11292.98,11360.26,288361400,11360.26
2001-11-20,11347.31,11501.04,11148.26,11225.79,611346400,11225.79
2001-11-21,11208.28,11311.8,11149.51,11173.92,363374200,11173.92
2001-11-22,11162.82,11261.77,11114.54,11253.3,270360400,11253.3
2001-11-23,11289.34,11346.33,11271.03,11322.36,234529600,11322.36
2001-11-26,11380,11525.26,11316.74,11391.96,337983000,11391.96
2001-11-27,11402.03,11428.49,11216.53,11261.54,269437000,11261.54
2001-11-28,11225.41,11225.41,11012.47,11066.19,362437400,11066.19
2001-11-29,10974.66,11120.74,10905.04,11090.74,350880400,11090.74
2001-11-30,11116.34,11359.12,11116.34,11279.25,407022600,11279.25
2001-12-03,11253.98,11257.71,11049.15,11155.15,357658600,11155.15
2001-12-04,11169.26,11429.68,11076.32,11427.28,441430000,11427.28
2001-12-05,11505.11,11706.09,11505.11,11678.44,544663200,11678.44
2001-12-06,11818.99,11957.83,11672.55,11745.84,700296400,11745.84
2001-12-07,11782.47,11848.09,11697.09,11832.18,309706200,11832.18
2001-12-10,11786.91,11836.21,11709.37,11784.92,237999600,11784.92
2001-12-11,11756.53,11756.53,11633.22,11693.05,226849200,11693.05
2001-12-12,11698.71,11865.17,11592.47,11847.06,320961600,11847.06
2001-12-13,11803.02,11875.03,11515.13,11529.54,349863600,11529.54
2001-12-14,11497.59,11521.04,11349.51,11466.11,323402200,11466.11
2001-12-17,11464.38,11576.31,11361.35,11465.78,175376000,11465.78
2001-12-18,11521.68,11599.57,11391.33,11486.93,189541200,11486.93
2001-12-19,11523.92,11597.13,11523.92,11565.23,147141600,11565.23
2001-12-20,11547.92,11639.22,11447.73,11601.14,259933800,11601.14
2001-12-21,11500.29,11500.29,11122.2,11158.1,277009200,11158.1
2001-12-24,11189.52,11249.9,11182.45,11209.78,79446000,11209.78
2001-12-27,11250.05,11415.04,11208.47,11359.5,129996400,11359.5
2001-12-28,11359.5,11432.29,11309.02,11431.59,148860200,11431.59
2001-12-31,11431.59,11451.79,11347.79,11397.21,64712600,11397.21
2002-01-02,11368.13,11368.13,11241.63,11350.85,106074600,11350.85
2002-01-03,11348.8,11447,11348.8,11423.52,274626200,11423.52
2002-01-04,11547.01,11727.81,11547.01,11702.15,362553600,11702.15
2002-01-07,11687.43,11905.55,11687.43,11892.64,442387000,11892.64
2002-01-08,11781.19,11806.25,11678.06,11713.71,279504600,11713.71
2002-01-09,11711.77,11783.7,11369.63,11440.72,428711600,11440.72
2002-01-10,11361.09,11361.09,11168.89,11256.07,354783400,11256.07
2002-01-11,11278.86,11351.75,11085.47,11166.46,316216600,11166.46
2002-01-14,11081.38,11213.86,11029.22,11209.43,210140000,11209.43
2002-01-15,11071.49,11071.49,10965.24,11013.59,230468200,11013.59
2002-01-16,11035.49,11080.55,10910.75,10964.09,194573800,10964.09
2002-01-17,10888.11,11020.21,10808,11013.84,221629000,11013.84
2002-01-18,11023.79,11065.53,10934.01,10972.96,373829400,10972.96
2002-01-21,10967.09,11083.17,10941.47,11000.25,213151400,11000.25
2002-01-22,10991.4,10997.9,10778.78,10797.69,251469600,10797.69
2002-01-23,10750.98,10793.07,10689.06,10762.14,225157600,10762.14
2002-01-24,10796.81,10847.53,10690.63,10741.46,199480800,10741.46
2002-01-25,10789,10842.47,10718.27,10772.96,290674000,10772.96
