Relation Name:  QueryResult-weka.filters.unsupervised.attribute.AddID-C1-Nt-weka.filters.unsupervised.attribute.AddExpression-Eexp(a1/10)-Nexpression-weka.filters.unsupervised.attribute.NumericToNominal-R12
Num Instances:  1254
Num Attributes: 13

     Name                      Type  Nom  Int Real     Missing      Unique  Dist
   1 ema8slope                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   2 ema13slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   3 ema18slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   4 sma22slope                 Num   0%   0% 100%     0 /  0%  1252 /100%  1253 
   5 rocp5                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   6 rocp6                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   7 devema8                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   8 devema16                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   9 devsma9                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  10 devsma22                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  11 devsma10                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  12 5bottom                    Nom 100%   0%   0%     0 /  0%     0 /  0%     3 
  13 exp(a1/10)                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 

K, WindowSize, Precision, Recall, F1
3, 4, 0.715, 0.697, 0.706
3, 5, 0.708, 0.682, 0.695
3, 6, 0.700, 0.664, 0.682
3, 7, 0.706, 0.659, 0.682
3, 8, 0.706, 0.652, 0.678
3, 9, 0.690, 0.646, 0.667
3, 10, 0.694, 0.642, 0.667
3, 11, 0.694, 0.647, 0.670
3, 12, 0.698, 0.642, 0.668
3, 13, 0.690, 0.642, 0.665
3, 14, 0.686, 0.645, 0.665
3, 15, 0.684, 0.649, 0.666
3, 16, 0.682, 0.649, 0.665
3, 17, 0.685, 0.652, 0.668
3, 18, 0.690, 0.657, 0.673
3, 19, 0.693, 0.664, 0.678
3, 20, 0.695, 0.663, 0.678
3, 21, 0.698, 0.668, 0.682
3, 22, 0.695, 0.668, 0.681
3, 23, 0.698, 0.673, 0.685
3, 24, 0.693, 0.670, 0.681
3, 25, 0.695, 0.666, 0.680
3, 26, 0.696, 0.667, 0.681
3, 27, 0.701, 0.667, 0.683
3, 28, 0.701, 0.670, 0.685
3, 29, 0.701, 0.669, 0.684
3, 30, 0.701, 0.670, 0.685
3, 31, 0.698, 0.668, 0.683
3, 32, 0.700, 0.662, 0.680
3, 33, 0.697, 0.660, 0.678
3, 34, 0.699, 0.661, 0.679
3, 35, 0.699, 0.662, 0.680
3, 36, 0.701, 0.660, 0.680
3, 37, 0.702, 0.658, 0.679
3, 38, 0.702, 0.658, 0.679
3, 39, 0.703, 0.660, 0.681
3, 40, 0.703, 0.663, 0.682
3, 41, 0.705, 0.667, 0.685
3, 42, 0.705, 0.667, 0.685
3, 43, 0.705, 0.667, 0.685
3, 44, 0.703, 0.668, 0.685
3, 45, 0.706, 0.670, 0.687
3, 46, 0.706, 0.669, 0.687
3, 47, 0.704, 0.667, 0.685
3, 48, 0.702, 0.666, 0.684
3, 49, 0.701, 0.665, 0.683
3, 50, 0.702, 0.664, 0.682
3, 51, 0.702, 0.664, 0.682
3, 52, 0.703, 0.662, 0.682
3, 53, 0.703, 0.662, 0.682
3, 54, 0.704, 0.664, 0.683
3, 55, 0.703, 0.668, 0.685
3, 56, 0.703, 0.668, 0.685
3, 57, 0.705, 0.671, 0.687
3, 58, 0.703, 0.670, 0.686
3, 59, 0.701, 0.670, 0.685
3, 60, 0.699, 0.667, 0.683
3, 61, 0.700, 0.668, 0.684
3, 62, 0.700, 0.670, 0.684
3, 63, 0.699, 0.669, 0.684
3, 64, 0.699, 0.667, 0.683
3, 65, 0.700, 0.666, 0.683
3, 66, 0.703, 0.666, 0.684
3, 67, 0.702, 0.665, 0.683
3, 68, 0.702, 0.665, 0.683
3, 69, 0.702, 0.666, 0.683
3, 70, 0.701, 0.665, 0.683
3, 71, 0.701, 0.665, 0.682
3, 72, 0.702, 0.667, 0.684
3, 73, 0.705, 0.665, 0.684
3, 74, 0.707, 0.665, 0.685
