Relation Name:  QueryResult-weka.filters.unsupervised.attribute.AddID-C1-Nt-weka.filters.unsupervised.attribute.AddExpression-Eexp(a1/20)-Nexpression-weka.filters.unsupervised.attribute.NumericToNominal-R13
Num Instances:  1254
Num Attributes: 14

     Name                      Type  Nom  Int Real     Missing      Unique  Dist
   1 ema8slope                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   2 ema13slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   3 ema18slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   4 sma22slope                 Num   0%   0% 100%     0 /  0%  1252 /100%  1253 
   5 rocp5                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   6 rocp6                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   7 devema8                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   8 devema16                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   9 devsma9                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  10 devsma22                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  11 devsma10                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  12 gap                        Num   0%   2%  98%     0 /  0%  1230 / 98%  1231 
  13 5bottom                    Nom 100%   0%   0%     0 /  0%     0 /  0%     3 
  14 exp(a1/20)                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 

K, WindowSize, Precision, Recall, F1
3, 6, 0.696, 0.663, 0.679
3, 8, 0.699, 0.647, 0.672
3, 10, 0.683, 0.628, 0.655
3, 12, 0.686, 0.635, 0.660
3, 14, 0.672, 0.630, 0.650
3, 16, 0.672, 0.635, 0.653
3, 18, 0.668, 0.637, 0.652
3, 20, 0.677, 0.649, 0.663
3, 22, 0.673, 0.635, 0.654
3, 24, 0.667, 0.635, 0.651
3, 26, 0.673, 0.643, 0.658
3, 28, 0.673, 0.638, 0.655
3, 30, 0.667, 0.642, 0.654
3, 32, 0.670, 0.641, 0.655
3, 34, 0.668, 0.638, 0.653
3, 36, 0.670, 0.635, 0.652
3, 38, 0.674, 0.635, 0.654
3, 40, 0.674, 0.635, 0.654
3, 42, 0.672, 0.635, 0.653
3, 44, 0.674, 0.632, 0.652
3, 46, 0.677, 0.629, 0.652
3, 48, 0.677, 0.631, 0.653
3, 50, 0.676, 0.628, 0.651
3, 52, 0.681, 0.632, 0.656
3, 54, 0.683, 0.627, 0.654
3, 56, 0.680, 0.627, 0.652
3, 58, 0.676, 0.622, 0.648
3, 60, 0.674, 0.623, 0.647
3, 62, 0.672, 0.627, 0.649
3, 64, 0.674, 0.632, 0.652
3, 66, 0.674, 0.628, 0.650
3, 68, 0.676, 0.627, 0.650
3, 70, 0.671, 0.622, 0.645
3, 72, 0.673, 0.621, 0.646
3, 74, 0.676, 0.627, 0.650
3, 76, 0.678, 0.626, 0.651
