Relation Name:  QueryResult-weka.filters.unsupervised.attribute.AddID-C1-Nt-weka.filters.unsupervised.attribute.AddExpression-Esin(a1/6)-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Esin(a1/4)-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Eexp(a1/20)-Nexpression-weka.filters.unsupervised.attribute.NumericToNominal-R14
Num Instances:  1254
Num Attributes: 17

     Name                      Type  Nom  Int Real     Missing      Unique  Dist
   1 ema8slope                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   2 ema13slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   3 ema18slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   4 sma22slope                 Num   0%   0% 100%     0 /  0%  1252 /100%  1253 
   5 rocp5                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   6 rocp6                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   7 devema8                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   8 devema16                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   9 devsma9                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  10 devsma22                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  11 devsma10                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  12 gap                        Num   0%   2%  98%     0 /  0%  1230 / 98%  1231 
  13 rsi13                      Num   0%   0% 100%     0 /  0%  1209 / 96%  1231 
  14 14bottom                   Nom 100%   0%   0%     0 /  0%     0 /  0%     3 
  15 sin(a1/6)                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  16 sin(a1/4)                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  17 exp(a1/20)                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 

K, WindowSize, Precision, Recall, F1
3, 6, 0.627, 0.473, 0.540
3, 8, 0.594, 0.463, 0.520
3, 10, 0.595, 0.466, 0.523
3, 12, 0.588, 0.463, 0.518
3, 14, 0.586, 0.463, 0.517
3, 16, 0.577, 0.452, 0.507
3, 18, 0.574, 0.441, 0.499
3, 20, 0.586, 0.459, 0.515
3, 22, 0.591, 0.473, 0.526
3, 24, 0.590, 0.480, 0.529
3, 26, 0.586, 0.486, 0.531
3, 28, 0.588, 0.477, 0.527
3, 30, 0.600, 0.487, 0.538
3, 32, 0.595, 0.477, 0.529
3, 34, 0.609, 0.473, 0.533
3, 36, 0.599, 0.469, 0.526
3, 38, 0.604, 0.473, 0.530
3, 40, 0.602, 0.480, 0.534
3, 42, 0.611, 0.487, 0.542
3, 44, 0.607, 0.491, 0.543
3, 46, 0.609, 0.487, 0.541
3, 48, 0.601, 0.480, 0.534
3, 50, 0.599, 0.480, 0.533
3, 52, 0.598, 0.474, 0.529
3, 54, 0.595, 0.474, 0.528
3, 56, 0.589, 0.470, 0.523
3, 58, 0.590, 0.470, 0.523
3, 60, 0.591, 0.466, 0.521
3, 62, 0.583, 0.469, 0.520
3, 64, 0.587, 0.469, 0.521
3, 66, 0.576, 0.457, 0.510
3, 68, 0.591, 0.465, 0.521
3, 70, 0.589, 0.463, 0.519
3, 72, 0.592, 0.465, 0.521
3, 74, 0.592, 0.465, 0.521
3, 76, 0.598, 0.465, 0.523
3, 78, 0.601, 0.465, 0.524
3, 80, 0.601, 0.465, 0.524
3, 82, 0.601, 0.465, 0.524
3, 84, 0.601, 0.465, 0.524
3, 86, 0.601, 0.465, 0.524
3, 88, 0.599, 0.461, 0.521
3, 90, 0.596, 0.461, 0.520
3, 92, 0.593, 0.461, 0.519
3, 94, 0.592, 0.465, 0.521
3, 96, 0.593, 0.461, 0.519
